VehicleId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost,OperationCost
V001,126,CD01 - C018 - C002 - C019 - C007 - C021 - C012 - C023 - C014 - C020 - CD01,9,12-15-11-17-14-12-15-15-15,47.357,71.04,25731,241480
V002,138,CD01 - C003 - C013 - C015 - C010 - C016 - C001 - C004 - C022 - C006 - CD01,9,12-21-17-15-10-13-15-18-17,49.099,73.65,26677,248525
V003,113,CD01 - C005 - C008 - C009 - C011 - C024 - C017 - CD01,6,20-20-20-17-11-25,44.236,66.35,24035,228860
