VehicleId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost,OperationCost
V001,130,CD01 - C020 - C012 - C021 - C019 - C001 - C024 - C018 - C003 - C023 - C014 - CD01,10,15-12-14-11-13-11-12-12-15-15,59.421,89.13,32286,290261
V002,140,CD01 - C008 - C005 - C017 - C016 - C010 - C015 - C004 - C022 - CD01,8,20-20-25-10-15-17-15-18,49.367,74.05,26823,249606
V008,107,CD01 - C007 - C002 - C013 - C006 - C009 - C011 - CD01,6,17-15-21-17-20-17,57.188,85.78,31072,281230
